run_id,protocol,serializer,compression,zstd_dict,crc_ok,seq_id,payload_size_bytes,wire_size_bytes,ts_created_ns,ts_serialized_ns,ts_compressed_ns,ts_sent_ns,ts_received_ns,ts_decompressed_ns,ts_deserialized_ns,ts_processed_ns,ntp_offset_sender_ns,ntp_offset_receiver_ns,e2e_delay_us,serialization_us,compression_us,transport_us,decompression_us,deserialization_us,processing_us,jitter_us,is_out_of_order,is_duplicate,seq_gap
B_ntp_5,tcp,none,none,,1,0,512,584,1785222528847703000,1785222528847705000,1785222528847705000,1785222528847707000,1785222528847886000,1785222528847906000,1785222528847911000,1785222528847911000,43384581,48124703,4919.122,2.000,0.000,2.000,20.000,5.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,1,512,584,1785222528847722000,1785222528847722000,1785222528847722000,1785222528847723000,1785222528847898000,1785222528847927000,1785222528847927000,1785222528847927000,43384581,48124703,4915.122,0.000,0.000,1.000,29.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,2,512,584,1785222528849083000,1785222528849089000,1785222528849090000,1785222528849117000,1785222528849296000,1785222528849316000,1785222528849316000,1785222528849316000,43384581,48124703,4919.122,6.000,1.000,27.000,20.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,3,512,584,1785222528849975000,1785222528850009000,1785222528850009000,1785222528850010000,1785222528850079000,1785222528850098000,1785222528850098000,1785222528850098000,43384581,48124703,4809.122,34.000,0.000,1.000,19.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,4,512,584,1785222528850911000,1785222528850951000,1785222528850952000,1785222528850954000,1785222528851135000,1785222528851197000,1785222528851198000,1785222528851198000,43384581,48124703,4921.122,40.000,1.000,2.000,62.000,1.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,5,512,584,1785222528851928000,1785222528851937000,1785222528851938000,1785222528851986000,1785222528852165000,1785222528852185000,1785222528852185000,1785222528852185000,43384581,48124703,4919.122,9.000,1.000,48.000,20.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,6,512,584,1785222528852911000,1785222528852913000,1785222528852913000,1785222528852914000,1785222528852962000,1785222528853005000,1785222528853005000,1785222528853005000,43384581,48124703,4788.122,2.000,0.000,1.000,43.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,7,512,584,1785222528853910000,1785222528853912000,1785222528853912000,1785222528853913000,1785222528853988000,1785222528854000000,1785222528854001000,1785222528854001000,43384581,48124703,4815.122,2.000,0.000,1.000,12.000,1.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,8,512,584,1785222528854918000,1785222528854921000,1785222528854921000,1785222528854922000,1785222528854979000,1785222528854995000,1785222528854995000,1785222528854995000,43384581,48124703,4797.122,3.000,0.000,1.000,16.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,9,512,584,1785222528855837000,1785222528855839000,1785222528855839000,1785222528855840000,1785222528855905000,1785222528855916000,1785222528855916000,1785222528855916000,43384581,48124703,4805.122,2.000,0.000,1.000,11.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,10,512,584,1785222528856724000,1785222528856727000,1785222528856727000,1785222528856729000,1785222528856795000,1785222528856813000,1785222528856813000,1785222528856813000,43384581,48124703,4806.122,3.000,0.000,2.000,18.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,11,512,584,1785222528857728000,1785222528857731000,1785222528857731000,1785222528857733000,1785222528857789000,1785222528857797000,1785222528857798000,1785222528857798000,43384581,48124703,4796.122,3.000,0.000,2.000,8.000,1.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,12,512,584,1785222528858844000,1785222528858846000,1785222528858846000,1785222528858848000,1785222528858959000,1785222528858973000,1785222528858973000,1785222528858973000,43384581,48124703,4851.122,2.000,0.000,2.000,14.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,13,512,584,1785222528859915000,1785222528859917000,1785222528859917000,1785222528859918000,1785222528860034000,1785222528860059000,1785222528860060000,1785222528860060000,43384581,48124703,4856.122,2.000,0.000,1.000,25.000,1.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,14,512,584,1785222528860899000,1785222528860907000,1785222528860908000,1785222528860942000,1785222528861017000,1785222528861026000,1785222528861026000,1785222528861026000,43384581,48124703,4815.122,8.000,1.000,34.000,9.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,15,512,584,1785222528861945000,1785222528861945000,1785222528861946000,1785222528861947000,1785222528862000000,1785222528862006000,1785222528862006000,1785222528862006000,43384581,48124703,4793.122,0.000,1.000,1.000,6.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,16,512,584,1785222528862919000,1785222528862924000,1785222528862925000,1785222528862931000,1785222528863097000,1785222528863124000,1785222528863124000,1785222528863125000,43384581,48124703,4906.122,5.000,1.000,6.000,27.000,0.000,1.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,17,512,584,1785222528863923000,1785222528863929000,1785222528863971000,1785222528863972000,1785222528864108000,1785222528864126000,1785222528864126000,1785222528864126000,43384581,48124703,4876.122,6.000,42.000,1.000,18.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,18,512,584,1785222528864800000,1785222528864807000,1785222528864809000,1785222528864815000,1785222528864890000,1785222528864923000,1785222528864924000,1785222528864924000,43384581,48124703,4815.122,7.000,2.000,6.000,33.000,1.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,19,512,584,1785222528865924000,1785222528865926000,1785222528865926000,1785222528865927000,1785222528866041000,1785222528866052000,1785222528866053000,1785222528866053000,43384581,48124703,4854.122,2.000,0.000,1.000,11.000,1.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,20,512,584,1785222528866857000,1785222528866859000,1785222528866860000,1785222528866861000,1785222528866945000,1785222528866971000,1785222528866972000,1785222528866972000,43384581,48124703,4824.122,2.000,1.000,1.000,26.000,1.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,21,512,584,1785222528867976000,1785222528867981000,1785222528867982000,1785222528867988000,1785222528868090000,1785222528868129000,1785222528868129000,1785222528868129000,43384581,48124703,4842.122,5.000,1.000,6.000,39.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,22,512,584,1785222528868928000,1785222528868929000,1785222528868929000,1785222528868930000,1785222528869016000,1785222528869042000,1785222528869042000,1785222528869042000,43384581,48124703,4826.122,1.000,0.000,1.000,26.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,23,512,584,1785222528869948000,1785222528869950000,1785222528869950000,1785222528869951000,1785222528870042000,1785222528870051000,1785222528870051000,1785222528870051000,43384581,48124703,4831.122,2.000,0.000,1.000,9.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,24,512,584,1785222528870948000,1785222528870949000,1785222528870949000,1785222528870950000,1785222528871054000,1785222528871143000,1785222528871144000,1785222528871144000,43384581,48124703,4844.122,1.000,0.000,1.000,89.000,1.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,25,512,584,1785222528871889000,1785222528871891000,1785222528871891000,1785222528871893000,1785222528871968000,1785222528872005000,1785222528872005000,1785222528872005000,43384581,48124703,4815.122,2.000,0.000,2.000,37.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,26,512,584,1785222528872772000,1785222528872774000,1785222528872775000,1785222528872776000,1785222528872828000,1785222528872841000,1785222528872841000,1785222528872841000,43384581,48124703,4792.122,2.000,1.000,1.000,13.000,0.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,27,512,584,1785222528873980000,1785222528873983000,1785222528873983000,1785222528873984000,1785222528874080000,1785222528874094000,1785222528874095000,1785222528874095000,43384581,48124703,4836.122,3.000,0.000,1.000,14.000,1.000,0.000,0.000,0,0,0
B_ntp_5,tcp,none,none,,1,28,512,584,1785222528874890000,1785222528874935000,1785222528874936000,1785222528874967000,1785222528875070000,1785222528875081000,1785222528875082000,1785222528875082000,43384581,48124703,4843.122,45.000,1.000,31.000,11.000,1.000,0.000,0.000,0,0,0
